,note_countlog,wcount,hour,aspect_ratio,freq_tags,Popularity
0,0.0,6.0,18,1.50058616647,6,NotFollowed
1,0.0,0.0,18,0.800500312695,1,NotFollowed
2,0.0,5.0,18,1.50058616647,4,NotFollowed
3,0.0,36.0,18,0.8,2,NotFollowed
4,0.0,24.0,18,1.33333333333,7,NotFollowed
5,0.0,7.0,18,0.658666666667,2,NotFollowed
6,0.301029995664,7.0,18,0.666666666667,2,Followed
7,0.845098040014,7.0,18,1.0,2,Followed
8,0.778151250384,0.0,18,0.802568218299,0,Followed
9,0.602059991328,0.0,18,0.805152979066,0,Followed
10,0.0,6.0,18,0.676470588233,1,NotFollowed
11,0.602059991328,30.0,18,0.8,7,Followed
12,0.301029995664,24.0,18,0.799693016116,7,Followed
13,0.0,35.0,18,1.37055837563,8,NotFollowed
14,0.0,24.0,18,1.0,5,NotFollowed
15,0.0,33.0,18,1.0,1,NotFollowed
16,0.0,31.0,18,0.8,6,NotFollowed
17,0.0,9.0,18,1.0,1,NotFollowed
18,0.845098040014,7.0,18,0.656000000001,2,Followed
19,0.698970004336,7.0,18,0.530666666667,2,Followed
20,0.301029995664,0.0,18,0.793183578621,0,Followed
21,0.301029995664,0.0,18,0.897666068223,0,Followed
22,0.0,0.0,18,0.815709969786,1,NotFollowed
23,0.0,3.0,17,1.0,0,NotFollowed
24,0.602059991328,0.0,17,0.8038585209,0,Followed
25,0.47712125472,29.0,17,0.83857442348,1,Followed
26,0.0,6.0,17,0.8,0,NotFollowed
27,0.698970004336,0.0,17,0.77519379845,0,Followed
28,0.0,4.0,17,0.666666666667,0,NotFollowed
29,0.0,3.0,17,1.0,0,NotFollowed
30,0.0,20.0,17,0.8,0,NotFollowed
31,0.0,2.0,17,0.666666666667,0,NotFollowed
32,0.301029995664,22.0,17,1.0,2,Followed
33,0.0,28.0,17,0.800593031878,7,NotFollowed
34,0.0,32.0,17,1.0,7,NotFollowed
35,0.0,38.0,17,1.33333333333,2,NotFollowed
36,0.0,44.0,17,1.0,2,NotFollowed
37,0.0,21.0,17,1.33333333333,2,NotFollowed
38,0.47712125472,0.0,17,0.806451612903,0,Followed
39,0.0,38.0,17,1.0,2,NotFollowed
40,0.845098040014,0.0,17,0.805152979066,0,Followed
41,0.0,51.0,16,0.8,7,NotFollowed
42,0.0,23.0,16,1.0,6,NotFollowed
43,0.0,0.0,16,1.04135338346,1,NotFollowed
44,0.0,31.0,16,0.813865862851,9,NotFollowed
45,0.0,30.0,16,1.0,5,NotFollowed
46,0.0,0.0,16,,2,NotFollowed
47,0.0,0.0,16,,4,NotFollowed
48,0.0,8.0,16,1.49795201872,4,NotFollowed
49,0.845098040014,0.0,16,0.924214417745,0,Followed
50,0.845098040014,0.0,16,0.801282051282,0,Followed
51,0.0,21.0,16,1.49882903981,6,NotFollowed
52,0.0,34.0,16,1.0,4,NotFollowed
53,0.0,0.0,15,0.744618964514,0,NotFollowed
54,0.0,40.0,15,1.0,3,NotFollowed
55,0.0,16.0,15,0.8,5,NotFollowed
56,0.0,16.0,15,0.8,5,NotFollowed
57,0.0,16.0,15,0.8,4,NotFollowed
58,0.47712125472,7.0,15,1.49700598802,2,Followed
59,0.301029995664,0.0,15,0.667455621304,0,Followed
60,0.0,14.0,15,0.8,4,NotFollowed
61,0.0,14.0,15,0.8,4,NotFollowed
62,0.0,14.0,15,0.8,4,NotFollowed
63,0.0,48.0,15,1.0,6,NotFollowed
64,0.0,23.0,15,1.0,2,NotFollowed
65,0.301029995664,0.0,15,0.805152979066,0,Followed
66,0.0,37.0,15,1.0,6,NotFollowed
67,1.38021124171,0.0,15,0.807754442649,0,Popular
68,0.0,29.0,15,1.0,10,NotFollowed
69,0.0,19.0,15,0.979147778782,1,NotFollowed
70,0.301029995664,0.0,15,1.01214574899,0,Followed
71,0.301029995664,0.0,15,1.50058616647,1,Followed
72,0.0,40.0,15,0.8,2,NotFollowed
73,0.0,75.0,15,1.0,2,NotFollowed
74,0.0,20.0,14,1.50058616647,3,NotFollowed
75,0.0,13.0,14,1.0,0,NotFollowed
76,0.301029995664,0.0,14,,0,Followed
77,0.0,10.0,14,1.0,1,NotFollowed
78,0.47712125472,3.0,14,0.750000000002,0,Followed
79,0.0,82.0,14,0.800310800309,0,NotFollowed
80,0.0,7.0,14,1.61943319838,2,NotFollowed
81,0.0,0.0,14,0.666406250001,0,NotFollowed
82,0.0,16.0,14,0.80017079419,0,NotFollowed
83,0.0,19.0,14,0.8,1,NotFollowed
84,0.0,89.0,14,1.0,2,NotFollowed
85,0.0,0.0,14,0.885382059804,1,NotFollowed
86,0.0,46.0,14,0.800593031878,2,NotFollowed
87,0.0,20.0,14,1.0,2,NotFollowed
88,0.0,37.0,14,1.0,9,NotFollowed
89,0.0,15.0,14,0.8,0,NotFollowed
90,0.301029995664,2.0,14,0.497395833333,1,Followed
91,0.301029995664,21.0,14,0.8,4,Followed
92,0.778151250384,0.0,14,1.51057401813,0,Followed
93,0.845098040014,0.0,14,0.811688311688,0,Followed
94,0.301029995664,35.0,13,1.32515337423,6,Followed
95,0.0,34.0,13,1.0,2,NotFollowed
96,0.301029995664,38.0,13,0.799424184264,1,Followed
97,0.0,18.0,13,1.0,3,NotFollowed
98,0.47712125472,7.0,13,0.666666666667,2,Followed
99,0.0,42.0,13,1.0,2,NotFollowed
100,0.0,19.0,13,0.815709969786,0,NotFollowed
101,0.0,19.0,13,1.0,2,NotFollowed
102,0.0,28.0,13,1.0,9,NotFollowed
103,0.0,31.0,13,1.5,3,NotFollowed
104,0.0,22.0,13,0.8,0,NotFollowed
105,0.0,25.0,13,1.21951219512,1,NotFollowed
106,0.0,14.0,13,1.0,2,NotFollowed
107,0.0,23.0,13,1.36536030341,3,NotFollowed
108,0.0,40.0,13,1.40681003584,2,NotFollowed
109,0.903089986992,26.0,13,1.0,3,Followed
110,0.0,34.0,13,1.0,2,NotFollowed
111,0.0,23.0,13,1.49882903981,2,NotFollowed
112,0.0,10.0,13,0.839285714287,2,NotFollowed
113,0.0,23.0,13,0.874493927124,1,NotFollowed
114,0.0,30.0,13,0.8,14,NotFollowed
115,0.301029995664,33.0,13,1.0,7,Followed
116,0.0,35.0,13,1.88811188811,4,NotFollowed
117,0.0,9.0,13,0.8,1,NotFollowed
118,0.0,7.0,13,1.5,1,NotFollowed
119,0.301029995664,0.0,13,0.66632337796,1,Followed
120,0.0,96.0,12,1.0,0,NotFollowed
121,0.0,57.0,12,1.0,7,NotFollowed
122,0.47712125472,0.0,12,0.810372771475,0,Followed
123,0.0,33.0,12,0.8,0,NotFollowed
124,0.47712125472,0.0,12,0.806451612903,0,Followed
125,0.0,10.0,12,1.0,3,NotFollowed
126,0.0,32.0,12,1.0,5,NotFollowed
127,0.47712125472,0.0,12,1.0101010101,0,Followed
128,0.47712125472,0.0,12,0.667556742323,1,Followed
129,0.0,15.0,11,1.0,4,NotFollowed
130,0.0,40.0,11,0.8,5,NotFollowed
131,0.0,0.0,11,,3,NotFollowed
132,0.0,26.0,11,0.828856485036,2,NotFollowed
133,0.0,12.0,11,0.832103321033,2,NotFollowed
134,0.0,25.0,11,1.0,3,NotFollowed
135,0.301029995664,0.0,11,0.701562500001,1,Followed
136,0.0,0.0,11,,4,NotFollowed
137,0.0,42.0,11,1.0,7,NotFollowed
138,0.602059991328,7.0,11,0.666666666667,2,Followed
139,0.0,31.0,11,,1,NotFollowed
140,1.41497334797,10.0,11,0.777169663801,3,Popular
141,0.698970004336,0.0,11,0.811688311688,0,Followed
142,1.23044892138,1.0,10,1.03225806452,0,Popular
143,0.698970004336,3.0,10,1.08474576271,1,Followed
144,0.0,12.0,10,1.33333333333,2,NotFollowed
145,0.0,22.0,10,1.0,0,NotFollowed
146,0.0,0.0,10,1.02127659574,1,NotFollowed
147,0.0,16.0,10,0.8,1,NotFollowed
148,0.301029995664,10.0,10,1.0,0,Followed
149,0.954242509439,3.0,10,0.666666666667,5,Followed
150,0.0,21.0,10,1.0,2,NotFollowed
151,0.0,78.0,9,1.33333333333,3,NotFollowed
152,0.0,10.0,9,0.666666666667,1,NotFollowed
153,0.0,45.0,9,1.0,2,NotFollowed
154,0.0,10.0,9,1.0,2,NotFollowed
155,0.0,16.0,9,0.800593031878,4,NotFollowed
156,0.0,0.0,9,,1,NotFollowed
157,0.301029995664,0.0,9,1.0,1,Followed
158,0.0,67.0,9,1.0,2,NotFollowed
159,0.845098040014,7.0,9,1.49700598802,2,Followed
160,0.0,25.0,9,0.800593031878,2,NotFollowed
161,0.0,31.0,8,1.0,2,NotFollowed
162,0.301029995664,25.0,8,1.40625,7,Followed
163,0.0,33.0,8,0.8,2,NotFollowed
164,0.0,80.0,8,1.0,5,NotFollowed
165,1.9956351946,10.0,7,0.697500000001,1,Popular
166,0.0,30.0,7,1.0,5,NotFollowed
167,0.0,20.0,7,1.0,2,NotFollowed
168,0.0,12.0,7,0.963425512938,1,NotFollowed
169,0.0,45.0,7,1.53846153846,7,NotFollowed
170,0.0,43.0,7,1.0,4,NotFollowed
171,0.0,56.0,7,0.862619808306,15,NotFollowed
172,0.0,38.0,7,0.800593031878,15,NotFollowed
173,0.0,6.0,7,1.0,1,NotFollowed
174,0.301029995664,19.0,6,0.801186943619,2,Followed
175,0.0,25.0,6,1.17009750813,7,NotFollowed
176,0.0,34.0,6,1.39211136891,2,NotFollowed
177,0.0,25.0,6,0.828729281766,3,NotFollowed
178,0.0,83.0,6,1.5,0,NotFollowed
179,0.0,24.0,6,1.0,0,NotFollowed
180,1.6232492904,0.0,6,1.01078167116,4,Popular
181,0.301029995664,19.0,6,1.0,2,Followed
182,0.47712125472,8.0,6,0.666666666667,1,Followed
183,0.47712125472,30.0,6,0.890125173853,6,Followed
184,0.0,18.0,6,0.883977900552,4,NotFollowed
185,0.0,14.0,6,0.886426592798,4,NotFollowed
186,0.0,11.0,6,0.666666666667,2,NotFollowed
187,0.301029995664,27.0,5,0.665104166668,1,Followed
188,0.301029995664,28.0,5,0.8,11,Followed
189,0.0,28.0,5,1.33498145859,11,NotFollowed
190,0.301029995664,13.0,5,0.799799799802,2,Followed
191,0.0,13.0,5,1.0,2,NotFollowed
192,0.301029995664,63.0,5,1.0,7,Followed
193,0.47712125472,0.0,5,0.666406250001,0,Followed
194,0.0,10.0,5,0.8,4,NotFollowed
195,0.698970004336,0.0,5,0.814332247557,0,Followed
196,0.903089986992,0.0,5,0.841750841751,0,Followed
197,0.0,65.0,5,1.0,3,NotFollowed
198,0.0,7.0,5,1.5,2,NotFollowed
199,0.0,39.0,4,0.8,6,NotFollowed
200,0.0,29.0,4,1.0,6,NotFollowed
201,1.04139268516,0.0,4,0.749625187406,0,Followed
202,0.0,0.0,4,1.77777777778,2,NotFollowed
203,0.0,14.0,4,1.0,3,NotFollowed
204,0.301029995664,29.0,4,1.0,1,Followed
205,0.602059991328,7.0,4,0.666666666667,2,Followed
206,0.301029995664,4.0,4,0.8,2,Followed
207,0.0,40.0,3,0.751879699248,1,NotFollowed
208,0.301029995664,78.0,3,1.0,3,Followed
209,0.0,82.0,3,0.8,3,NotFollowed
210,0.301029995664,1.0,3,0.706791827719,0,Followed
211,0.301029995664,0.0,3,0.706791827719,0,Followed
212,0.0,27.0,3,1.0,2,NotFollowed
213,0.0,27.0,3,0.8,3,NotFollowed
214,0.0,70.0,3,0.896860986547,1,NotFollowed
215,0.0,33.0,2,0.8,9,NotFollowed
216,0.0,42.0,2,1.0,9,NotFollowed
217,0.0,40.0,2,0.8,4,NotFollowed
218,1.2552725051,0.0,2,0.806451612903,0,Popular
219,0.0,32.0,2,1.0,11,NotFollowed
220,0.0,0.0,2,0.7703125,1,NotFollowed
221,0.0,45.0,2,1.0,2,NotFollowed
222,0.0,44.0,2,1.0,7,NotFollowed
223,0.0,47.0,2,1.2,1,NotFollowed
224,0.0,4.0,2,0.723636363636,2,NotFollowed
225,0.0,3.0,2,1.49882903981,3,NotFollowed
226,0.0,86.0,2,1.33498145859,6,NotFollowed
227,0.0,16.0,2,1.0,1,NotFollowed
228,0.602059991328,13.0,1,0.666666666667,1,Followed
229,0.301029995664,7.0,1,1.49700598802,2,Followed
230,1.27875360095,5.0,1,0.603296703298,8,Popular
231,0.0,49.0,1,1.0,4,NotFollowed
232,0.0,9.0,1,1.50058616647,3,NotFollowed
233,0.301029995664,58.0,1,0.800593031878,9,Followed
234,0.301029995664,12.0,1,1.0,0,Followed
235,0.47712125472,0.0,1,0.667455621304,1,Followed
236,0.845098040014,0.0,1,1.50602409639,0,Followed
237,0.602059991328,0.0,1,0.666666666667,0,Followed
238,0.301029995664,18.0,1,1.33498145859,1,Followed
239,0.698970004336,0.0,1,1.5015015015,0,Followed
240,0.47712125472,5.0,1,0.895829613438,8,Followed
241,0.698970004336,0.0,0,1.0,0,Followed
242,0.301029995664,19.0,0,1.0,3,Followed
243,1.56820172407,0.0,0,0.666315789472,3,Popular
244,0.0,54.0,0,1.18577075099,2,NotFollowed
245,0.47712125472,43.0,0,1.0,3,Followed
246,1.2552725051,0.0,0,0.666315789472,3,Popular
247,0.0,39.0,0,1.0,5,NotFollowed
248,1.34242268082,72.0,0,,3,Popular
249,0.698970004336,0.0,0,1.50058616647,3,Followed
250,0.301029995664,5.0,0,1.3342019544,3,Followed
251,0.0,28.0,0,0.8,5,NotFollowed
252,0.0,28.0,0,0.585937499999,2,NotFollowed
253,0.47712125472,0.0,0,1.00200400802,0,Followed
254,0.47712125472,6.0,0,0.666666666667,1,Followed
255,0.0,0.0,0,1.00688298918,1,NotFollowed
256,0.0,63.0,0,1.10294117647,2,NotFollowed
257,0.0,26.0,0,0.8,3,NotFollowed
258,1.11394335231,9.0,0,1.30346232179,5,Popular
259,0.0,23.0,23,1.0,0,NotFollowed
260,0.301029995664,10.0,23,0.800593031878,2,Followed
261,0.0,0.0,23,,1,NotFollowed
262,0.778151250384,7.0,23,0.666666666667,2,Followed
263,0.301029995664,31.0,23,1.0,11,Followed
264,2.14612803568,5.0,23,0.666406250001,1,Popular
265,0.0,0.0,23,0.894039735098,1,NotFollowed
266,0.0,83.0,22,1.0,5,NotFollowed
267,0.0,39.0,22,1.0,1,NotFollowed
268,0.0,50.0,22,0.800593031878,11,NotFollowed
269,0.0,45.0,22,1.77631578947,10,NotFollowed
270,0.0,27.0,22,1.0,4,NotFollowed
271,0.47712125472,0.0,22,0.579761904763,0,Followed
272,0.0,20.0,22,1.0,1,NotFollowed
273,0.845098040014,0.0,22,0.801282051282,0,Followed
274,0.0,46.0,22,0.807778608828,2,NotFollowed
275,0.0,12.0,22,1.91029900332,1,NotFollowed
276,0.0,26.0,22,1.0,0,NotFollowed
277,0.0,37.0,22,1.0,2,NotFollowed
278,0.301029995664,20.0,22,1.0,2,Followed
279,0.0,32.0,22,1.17903930131,5,NotFollowed
280,0.301029995664,34.0,22,0.8,3,Followed
281,0.47712125472,22.0,21,1.0,1,Followed
282,0.0,28.0,21,0.8,4,NotFollowed
283,0.0,23.0,21,0.800593031878,4,NotFollowed
284,0.0,33.0,21,1.0,1,NotFollowed
285,1.0,0.0,21,0.666666666667,1,Followed
286,0.778151250384,0.0,21,1.01214574899,0,Followed
287,0.301029995664,8.0,21,1.33333333333,0,Followed
288,0.0,25.0,21,1.0,2,NotFollowed
289,0.0,85.0,21,0.8,6,NotFollowed
290,0.0,33.0,21,1.0,7,NotFollowed
291,1.0,0.0,21,1.54320987654,0,Followed
292,0.0,30.0,21,1.32743362832,2,NotFollowed
293,0.845098040014,22.0,21,1.0,1,Followed
294,1.61278385672,1.0,21,0.666666666667,1,Popular
295,0.47712125472,41.0,20,1.0,1,Followed
296,0.0,28.0,20,1.5,3,NotFollowed
297,0.0,24.0,20,1.50417827298,0,NotFollowed
298,0.698970004336,7.0,20,0.666666666667,2,Followed
299,0.0,6.0,20,1.0,1,NotFollowed
300,0.0,0.0,20,0.789915966386,1,NotFollowed
